一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.4074,309.81899999999996,333.4445,6.6702675000000005,0.0,0.0120312,11.203949999999999,100.983,0.000115048,0.0157507,0.81661,0.0
15.4078,309.81899999999996,333.4445,6.67024,0.0,0.0120312,11.20595,100.983,8.86e-05,0.0157486,0.816622,0.0
15.4082,309.8185,333.4445,6.670215,0.0,0.0120312,11.2079,100.983,5.995000000000001e-05,0.0157513,0.816635,0.0
15.4086,309.8185,333.4445,6.6701875,0.0,0.0120312,11.209900000000001,100.983,3.4e-05,0.0157538,0.816648,0.0
15.409,309.8185,333.4445,6.6701575,0.0,0.0120312,11.2118,100.983,3.4349999999999997e-06,0.0157528,0.81666,0.0
15.4094,309.818,333.4445,6.670125,0.0,0.0120312,11.213799999999999,100.983,-3.0050000000000002e-05,0.0157495,0.816672,0.0
15.4098,309.818,333.4445,6.67009,0.0,0.0120312,11.2158,100.983,-6.455e-05,0.0157493,0.816684,0.0
15.4102,309.8185,333.4445,6.67005,0.0,0.0120312,11.2177,100.983,-9.8791e-05,0.0157525,0.816696,0.0
15.4106,309.818,333.4445,6.670015,0.0,0.0120312,11.21965,100.983,-0.000131752,0.015754,0.816709,0.0
15.411,309.818,333.4445,6.6699775,0.0,0.0120312,11.2216,100.983,-0.0001633335,0.0157518,0.816721,0.0
15.4113,309.818,333.4445,6.6699375000000005,0.0,0.0120312,11.223600000000001,100.983,-0.0001938865,0.015749,0.816733,0.0
15.4117,309.818,333.4455,6.6699,0.0,0.0120312,11.2256,100.983,-0.0002236645,0.0157504,0.816746,0.0
15.4121,309.8175,333.4455,6.669865,0.0,0.0120312,11.227599999999999,100.983,-0.000252975,0.0157534,0.816758,0.0
15.4125,309.8175,333.4455,6.6698275,0.0,0.0120312,11.2296,100.983,-0.0002815205,0.0157538,0.81677,0.0
15.4129,309.8175,333.4455,6.6698,0.0,0.0120312,11.23155,100.983,-0.00031038699999999997,0.0157508,0.816782,0.0
15.4133,309.817,333.4455,6.6697775,0.0,0.0120312,11.2335,100.983,-0.0003395945,0.0157491,0.816795,0.0
15.4137,309.817,333.4455,6.669755,0.0,0.0120312,11.23555,100.983,-0.0003687825,0.0157517,0.816807,0.0
15.4141,309.817,333.4455,6.669735,0.0,0.0120312,11.237549999999999,100.983,-0.0003978155,0.0157541,0.816819,0.0
15.4145,309.817,333.4455,6.6697175,0.0,0.0120312,11.239550000000001,100.983,-0.000426089,0.0157532,0.816831,0.0
15.4149,309.817,333.4455,6.6696975,0.0,0.0120312,11.24155,100.983,-0.000453136,0.0157499,0.816844,0.0
15.4153,309.817,333.4465,6.66968,0.0,0.0120312,11.243549999999999,100.983,-0.0004795655,0.0157497,0.816856,0.0
15.4157,309.817,333.4465,6.6696675,0.0,0.0120312,11.24555,100.983,-0.0005064685,0.0157529,0.816868,0.0
15.4162,309.817,333.4465,6.6696475,0.0,0.0120312,11.24755,100.983,-0.000533494,0.0157544,0.81688,0.0
15.4166,309.817,333.4465,6.669635,0.0,0.0120312,11.249649999999999,100.983,-0.0005595975000000001,0.0157523,0.816893,0.0
15.417,309.817,333.4465,6.6696175,0.0,0.0120312,11.2517,100.983,-0.0005859124999999999,0.0157494,0.816905,0.0
15.4174,309.817,333.447,6.669605000000001,0.0,0.0120312,11.2537,100.983,-0.0006121225,0.0157508,0.816917,0.0
15.4179,309.817,333.4475,6.6695875000000004,0.0,0.0120312,11.255749999999999,100.983,-0.0006383000000000001,0.0157538,0.816929,0.0
15.4183,309.8175,333.4475,6.66957,0.0,0.0120312,11.257850000000001,100.983,-0.0006644215000000001,0.0157543,0.816941,0.0
15.4187,309.8175,333.4475,6.6695575,0.0,0.0120312,11.25995,100.983,-0.0006905739999999999,0.0157513,0.816954,0.0
15.4192,309.8175,333.448,6.669555,0.0,0.0120312,11.26225,100.983,-0.0007164745,0.0157495,0.816966,0.0
15.4196,309.8175,333.4485,6.669555,0.0,0.0120312,11.26435,100.983,-0.0007402875,0.0157521,0.816978,0.0
15.4201,309.818,333.4485,6.6695625,0.0,0.0120312,11.2664,100.983,-0.0007645760000000001,0.0157545,0.81699,0.0
15.4205,309.818,333.4485,6.669567499999999,0.0,0.0120312,11.2685,100.983,-0.0007889290000000001,0.0157537,0.817003,0.0
15.421,309.8185,333.4495,6.669575,0.0,0.0120312,11.27055,100.983,-0.000813873,0.0157504,0.817015,0.0
15.4214,309.81899999999996,333.4495,6.6695775,0.0,0.0120312,11.2727,100.983,-0.0008388295,0.0157501,0.817027,0.0
15.4219,309.81899999999996,333.4495,6.669585,0.0,0.0120312,11.2746,100.983,-0.00086208,0.0157532,0.817039,0.0
15.4224,309.81899999999996,333.45,6.669585,0.0,0.0120312,11.2767,100.983,-0.00088566,0.0157548,0.817052,0.0
15.4228,309.81949999999995,333.4505,6.669605000000001,0.0,0.0120312,11.2788,100.983,-0.000905772,0.0157528,0.817064,0.0
15.4233,309.82,333.4505,6.669625,0.0,0.0120312,11.28095,100.983,-0.000922413,0.0157499,0.817076,0.0
15.4241,309.82050000000004,333.4515,6.669662499999999,0.0,0.0120312,11.2847,100.983,-0.000947787,0.0157534,0.817097,0.0
15.4246,309.821,333.4515,6.669684999999999,0.0,0.0120312,11.2867,100.983,-0.000961417,0.015755,0.817109,0.0
15.425,309.821,333.4525,6.669705,0.0,0.0120312,11.2888,100.983,-0.000974347,0.0157528,0.817121,0.0
15.4255,309.8215,333.4525,6.669725000000001,0.0,0.0120312,11.2909,100.983,-0.000986415,0.0157499,0.817135,0.0
15.426,309.822,333.453,6.6697524999999995,0.0,0.0120312,11.292950000000001,100.983,-0.000999514,0.0157517,0.817147,0.0
15.4265,309.822,333.4535,6.6697725,0.0,0.0120312,11.295,100.983,-0.00101079,0.0157546,0.817159,0.0
15.4269,309.8225,333.4535,6.669795000000001,0.0,0.0120312,11.297049999999999,100.983,-0.00102185,0.0157546,0.817172,0.0
15.4274,309.823,333.4545,6.669815000000001,0.0,0.0120312,11.2991,100.983,-0.00103272,0.0157514,0.817184,0.0
15.4279,309.82349999999997,333.4545,6.669835,0.0,0.0120312,11.30115,100.983,-0.00104339,0.0157501,0.817196,0.0
15.4283,309.82399999999996,333.455,6.669854999999999,0.0,0.0120312,11.303149999999999,100.983,-0.00105343,0.015753,0.817208,0.0
15.4288,309.82399999999996,333.45550000000003,6.669874999999999,0.0,0.0120312,11.305150000000001,100.983,-0.00106341,0.0157552,0.81722,0.0
15.4292,309.8245,333.45550000000003,6.6699025,0.0,0.0120312,11.30715,100.983,-0.00107419,0.0157539,0.817233,0.0
15.4297,309.82500000000005,333.456,6.6699325,0.0,0.0120312,11.309249999999999,100.983,-0.00108486,0.0157507,0.817245,0.0
15.4301,309.82550000000003,333.4565,6.669957500000001,0.0,0.0120312,11.311250000000001,100.983,-0.00109324,0.0157509,0.817257,0.0
15.4306,309.82550000000003,333.457,6.6699850000000005,0.0,0.0120312,11.31315,100.983,-0.00110023,0.0157541,0.81727,0.0
15.431,309.826,333.4575,6.670015,0.0,0.0120312,11.31515,100.983,-0.00110609,0.0157553,0.817282,0.0
15.4315,309.8265,333.4575,6.670037499999999,0.0,0.0120312,11.3171,100.983,-0.00111145,0.0157529,0.817294,0.0
15.4319,309.8265,333.45799999999997,6.6700625,0.0,0.0120312,11.31905,100.983,-0.00111593,0.0157503,0.817306,0.0
15.4324,309.827,333.4585,6.670085,0.0,0.0120312,11.321000000000002,100.983,-0.00111977,0.0157521,0.817319,0.0
15.4328,309.8275,333.4585,6.670105,0.0,0.0120312,11.3229,100.983,-0.00112358,0.015755,0.817331,0.0
15.4332,309.8275,333.459,6.670125,0.0,0.0120312,11.3248,100.983,-0.00112733,0.015755,0.817343,0.0
