,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
112,1.859282033,1.519648629,1.738129332,1.073741901,-1.513543699,-2.006346969,-1.510071743,-2.167197361,-0.886394094,-1.158983748,-1.352752272,-0.878413187
113,1.859419237,1.519666314,1.738129332,1.073753306,-1.513543699,-2.006346969,-1.509836642,-2.167197361,-0.886465718,-1.159287045,-1.351920136,-0.878413187
114,1.859556442,1.519684,1.7381434,1.073764712,-1.513543699,-2.006346969,-1.509601542,-2.167197361,-0.886536306,-1.159726826,-1.35115201,-0.878413187
115,1.859666205,1.519684,1.738157469,1.073776117,-1.513543699,-2.006346969,-1.509372039,-2.167197361,-0.886605889,-1.159560012,-1.350383884,-0.878413187
116,1.859803409,1.519701686,1.738157469,1.073787523,-1.513543699,-2.006346969,-1.509142536,-2.167197361,-0.88667513,-1.159089902,-1.349615757,-0.878413187
117,1.859913173,1.519701686,1.738171537,1.073798929,-1.513543699,-2.006346969,-1.508907435,-2.167197361,-0.886742712,-1.158998913,-1.348783621,-0.878413187
118,1.860050377,1.519719372,1.738185606,1.073810334,-1.513543699,-2.006346969,-1.508677932,-2.167197361,-0.886808338,-1.159438694,-1.348015495,-0.878413187
119,1.860187581,1.519737057,1.738185606,1.07382174,-1.513543699,-2.006346969,-1.508437234,-2.167197361,-0.886878384,-1.159726826,-1.347183358,-0.878413187
120,1.860297345,1.519737057,1.738199675,1.073828868,-1.513543699,-2.006346969,-1.508213328,-2.167197361,-0.886940537,-1.159317375,-1.346351222,-0.878413187
121,1.860434549,1.519737057,1.738213743,1.073838848,-1.513543699,-2.006346969,-1.507983825,-2.167197361,-0.886996929,-1.158983748,-1.345647106,-0.878413187
122,1.860544312,1.519737057,1.738213743,1.073845977,-1.513543699,-2.006346969,-1.507754322,-2.167197361,-0.887060383,-1.159089902,-1.34487898,-0.878413187
123,1.860681516,1.519754743,1.738227812,1.073855956,-1.513543699,-2.006346969,-1.507524819,-2.167197361,-0.887123507,-1.159575177,-1.344110854,-0.878413187
124,1.86079128,1.519772429,1.73824188,1.073863085,-1.513543699,-2.006346969,-1.507300914,-2.167197361,-0.887186167,-1.159666166,-1.343342728,-0.878413187
125,1.860901043,1.519772429,1.73824188,1.073873065,-1.513543699,-2.006346969,-1.507065813,-2.167197361,-0.887247727,-1.159180891,-1.342510591,-0.878413187
126,1.861038248,1.519790115,1.738255949,1.073880193,-1.513543699,-2.006346969,-1.506841908,-2.167197361,-0.887308085,-1.158923089,-1.341742465,-0.878413187
127,1.861148011,1.519790115,1.738270017,1.073890173,-1.513543699,-2.006346969,-1.506618002,-2.167197361,-0.887367347,-1.159211221,-1.340974339,-0.878413187
128,1.861285215,1.519790115,1.738270017,1.07389445,-1.513543699,-2.006346969,-1.506388499,-2.167197361,-0.887424639,-1.159666166,-1.340206213,-0.878413187
129,1.861394979,1.5198078,1.738270017,1.073897302,-1.513543699,-2.006346969,-1.506158996,-2.167197361,-0.887479384,-1.159499353,-1.339374077,-0.878413187
130,1.861504742,1.519825486,1.738284086,1.073895876,-1.513543699,-2.006346969,-1.505935091,-2.167197361,-0.887531822,-1.159029243,-1.33860595,-0.878413187
131,1.861641946,1.519825486,1.738298154,1.073895876,-1.513543699,-2.006346969,-1.505705588,-2.167197361,-0.88758164,-1.158938254,-1.337837824,-0.878413187
132,1.86175171,1.519825486,1.738298154,1.073891599,-1.513543699,-2.006346969,-1.505481682,-2.167197361,-0.887629274,-1.159378034,-1.337069698,-0.878413187
133,1.861861473,1.519843172,1.738298154,1.073890173,-1.513543699,-2.006346969,-1.505252179,-2.167197361,-0.887674841,-1.159681331,-1.336301572,-0.878413187
134,1.861971236,1.519843172,1.738312223,1.073885896,-1.513543699,-2.006346969,-1.505022676,-2.167197361,-0.887718578,-1.15930221,-1.335469436,-0.878413187
135,1.862108441,1.519843172,1.738326291,1.07388447,-1.513543699,-2.006346969,-1.504798771,-2.167197361,-0.887760776,-1.158923089,-1.33470131,-0.878413187
136,1.862218204,1.519843172,1.738326291,1.073880193,-1.513543699,-2.006346969,-1.504569268,-2.167197361,-0.887801006,-1.159014078,-1.333933184,-0.878413187
137,1.862327967,1.519843172,1.738326291,1.073878768,-1.513543699,-2.006346969,-1.50435096,-2.167197361,-0.887839265,-1.159514518,-1.333165057,-0.878413187
138,1.862437731,1.519860858,1.738326291,1.073874491,-1.513543699,-2.006346969,-1.504121457,-2.167197361,-0.887875899,-1.159605507,-1.332332921,-0.878413187
139,1.862574935,1.519860858,1.738354428,1.073871639,-1.513543699,-2.006346969,-1.503903149,-2.167197361,-0.887910695,-1.159135397,-1.331564795,-0.878413187
140,1.862684698,1.519860858,1.738354428,1.073864511,-1.513543699,-2.006346969,-1.503679244,-2.167197361,-0.887943316,-1.158862429,-1.330796669,-0.878413187
141,1.862794462,1.519860858,1.738354428,1.073857382,-1.513543699,-2.006346969,-1.503449741,-2.167197361,-0.887971435,-1.159150562,-1.330028543,-0.878413187
142,1.862904225,1.519860858,1.738354428,1.073845977,-1.513543699,-2.006346969,-1.503225836,-2.167197361,-0.887996648,-1.159605507,-1.329196406,-0.878413187
143,1.863013989,1.519878543,1.738354428,1.073834571,-1.513543699,-2.006346969,-1.502996333,-2.167197361,-0.888024271,-1.159438694,-1.32842828,-0.878413187
144,1.863123752,1.519878543,1.738354428,1.073817463,-1.513543699,-2.006346969,-1.502772427,-2.144801619,-0.888052106,-1.158983748,-1.327660154,-0.878413187
